id,creation_date,link_type_id,post_id,related_post_id
229,2010-04-26 03:00:03.293000 UTC,1,21817,370962
321,2010-04-26 03:00:07.850000 UTC,1,35563,105349
457,2010-04-26 03:00:18.677000 UTC,1,52580,1305709
562,2010-04-26 03:00:21.500000 UTC,1,62126,61959
693,2010-04-26 03:00:23.747000 UTC,1,70653,1990722
988,2010-04-26 03:00:34.947000 UTC,1,87587,74461
1276,2010-04-26 03:00:38.833000 UTC,1,102600,101242
2541,2010-04-26 03:01:05.400000 UTC,1,159556,193182
3274,2010-04-26 03:01:14.837000 UTC,1,187414,167343
3338,2010-04-26 03:01:16.023000 UTC,1,189882,156634
3364,2010-04-26 03:01:16.257000 UTC,1,190531,74148
3761,2010-04-26 03:01:31.437000 UTC,1,205386,156395
4137,2010-04-26 03:01:47.817000 UTC,1,218507,138621
4269,2010-04-26 03:01:49.157000 UTC,1,222940,193457
4808,2010-04-26 03:01:55.990000 UTC,1,245318,244302
4974,2010-04-26 03:01:58.097000 UTC,1,251439,116797
5433,2010-04-26 03:02:04.257000 UTC,1,268497,19235
5612,2010-04-26 03:02:06.740000 UTC,1,274255,207653
7520,2010-04-26 03:02:42.900000 UTC,1,343209,218699
8542,2010-04-26 03:02:58.937000 UTC,1,380744,376513
8712,2010-04-26 03:03:00.963000 UTC,1,385573,313519
9339,2010-04-26 03:03:31.773000 UTC,1,405647,405600
10006,2010-04-26 03:03:38.763000 UTC,1,426139,202013
10088,2010-04-26 03:03:39.653000 UTC,1,428073,807418
10673,2010-04-26 03:03:45.627000 UTC,1,444966,420680
10701,2010-04-26 03:03:45.847000 UTC,1,445624,235774
10706,2010-04-26 03:03:45.847000 UTC,1,445624,291213
10728,2010-04-26 03:03:46.080000 UTC,1,446262,307512
10751,2010-04-26 03:03:46.283000 UTC,1,446728,348210
11231,2010-04-26 03:03:52.820000 UTC,1,460325,64537
11702,2010-04-26 03:03:58.670000 UTC,1,475604,186493
12166,2010-04-26 03:04:04.893000 UTC,1,490426,134572
12327,2010-04-26 03:04:07.483000 UTC,1,496510,125319
13014,2010-04-26 03:04:34.190000 UTC,1,518878,175528
13400,2010-04-26 03:04:39.277000 UTC,1,531116,68113
14157,2010-04-26 03:04:48.840000 UTC,1,554913,190110
14531,2010-04-26 03:04:53.830000 UTC,1,566988,9749
14820,2010-04-26 03:04:58.293000 UTC,1,575458,159204
15013,2010-04-26 03:05:00.790000 UTC,1,580727,549079
15095,2010-04-26 03:05:01.833000 UTC,1,582782,164427
15103,2010-04-26 03:05:01.927000 UTC,1,583025,84556
15207,2010-04-26 03:05:03.177000 UTC,1,585953,283016
15254,2010-04-26 03:05:03.783000 UTC,1,587481,11462
15570,2010-04-26 03:05:09.540000 UTC,1,597057,170309
16336,2010-04-26 03:05:53.300000 UTC,1,619898,566014
16524,2010-04-26 03:05:56.183000 UTC,1,626338,255905
16533,2010-04-26 03:05:56.420000 UTC,1,626603,333383
16539,2010-04-26 03:05:56.840000 UTC,1,626792,249087
16969,2010-04-26 03:06:04.187000 UTC,1,640763,671933
17024,2010-04-26 03:06:05.153000 UTC,1,642698,564829
17104,2010-04-26 03:06:06.340000 UTC,1,645575,643478
17661,2010-04-26 03:06:14.483000 UTC,1,663039,576764
18067,2010-04-26 03:06:19.460000 UTC,1,674104,70909
18084,2010-04-26 03:06:19.680000 UTC,1,674651,126167
18322,2010-04-26 03:06:22.847000 UTC,1,682015,629455
18906,2010-04-26 03:06:39.537000 UTC,1,700163,37684
19534,2010-04-26 03:06:46.947000 UTC,1,718372,248263
19749,2010-04-26 03:06:49.397000 UTC,1,724797,1033556
19806,2010-04-26 03:06:49.973000 UTC,1,726468,648463
20217,2010-04-26 03:06:55.870000 UTC,1,739416,84378
20530,2010-04-26 03:06:59.583000 UTC,1,747444,608423
21190,2010-04-26 03:07:13.903000 UTC,1,766636,282819
21248,2010-04-26 03:07:14.590000 UTC,1,768225,305223
21280,2010-04-26 03:07:15.277000 UTC,1,769775,742711
21383,2010-04-26 03:07:16.307000 UTC,1,771964,160144
21467,2010-04-26 03:07:17.180000 UTC,1,774048,179565
21508,2010-04-26 03:07:17.820000 UTC,1,775758,744010
21614,2010-04-26 03:07:19.333000 UTC,1,778965,816372
22153,2010-04-26 03:07:26.680000 UTC,1,794355,284452
22168,2010-04-26 03:07:26.977000 UTC,1,794946,694929
22684,2010-04-26 03:07:46.790000 UTC,1,810171,520467
22764,2010-04-26 03:07:47.820000 UTC,1,813048,731802
22795,2010-04-26 03:07:48.443000 UTC,1,814074,813285
22961,2010-04-26 03:07:51.157000 UTC,1,819823,261789
23121,2010-04-26 03:07:53.170000 UTC,1,824994,374152
23147,2010-04-26 03:07:53.450000 UTC,1,825664,761014
23170,2010-04-26 03:07:53.717000 UTC,1,826265,720455
23287,2010-04-26 03:07:59.597000 UTC,1,829761,672836
23531,2010-04-26 03:08:02.747000 UTC,1,837052,1950835
23856,2010-04-26 03:08:06.773000 UTC,1,845936,27835
23878,2010-04-26 03:08:07.087000 UTC,1,846775,847232
23968,2010-04-26 03:08:08.707000 UTC,1,849466,218556
24244,2010-04-26 03:08:12.700000 UTC,1,856494,448005
24541,2010-04-26 03:08:16.867000 UTC,1,864924,270494
25339,2010-04-26 03:08:29.127000 UTC,1,887667,777597
25360,2010-04-26 03:08:29.363000 UTC,1,888195,700205
25776,2010-04-26 03:08:51.013000 UTC,1,901216,441568
26228,2010-04-26 03:08:56.960000 UTC,1,913872,172125
26301,2010-04-26 03:08:57.910000 UTC,1,916345,916794
26599,2010-04-26 03:09:02.090000 UTC,1,925672,438782
26601,2010-04-26 03:09:02.107000 UTC,1,925754,415452
27614,2010-04-26 03:09:24.260000 UTC,1,955561,111676
27863,2010-04-26 03:09:28.847000 UTC,1,963439,571978
27874,2010-04-26 03:09:28.953000 UTC,1,963674,575475
28024,2010-04-26 03:09:30.997000 UTC,1,968480,944291
28189,2010-04-26 03:09:33.167000 UTC,1,973658,825441
28367,2010-04-26 03:09:36.303000 UTC,1,978885,819416
28640,2010-04-26 03:09:40.030000 UTC,1,987060,549962
29987,2010-04-26 03:10:08.173000 UTC,1,1027240,1023397
30488,2010-04-26 03:10:14.227000 UTC,1,1041312,236575