id	display_name	about_me	age	creation_date	last_access_date	location	reputation	up_votes	down_votes	views	profile_image_url	website_url
119	Jesse Ezell	test		2008-08-02 06:16:23.953000 UTC	2014-05-19 08:08:35.100000 UTC		189	1	0	137		http://www.iserviceoriented.com
407	Grant			2008-08-05 13:47:10.857000 UTC	2011-09-09 17:58:26.657000 UTC		300	10	1	57		
1293	jason saldo	"<p>I seek not to know the answers, but to understand the questions.<br>
-Caine (Kung Fu)</p>"		2008-08-14 12:38:08.313000 UTC	2022-09-15 13:26:46.500000 UTC	New York, NY	9644	765	73	941		http://about.me/saldo
2461	Zack Elan			2008-08-22 12:19:10.733000 UTC	2020-12-13 05:19:43.553000 UTC		1666	167	2	233		http://example.com
2899	Tom Juergens	<p>IT Consultant, mainly with DotNet and SQL, but plenty of other technologies thrown in so things don't get too boring... Outside the office: Cheerleader and gymnast!</p>		2008-08-25 20:31:14.770000 UTC	2021-03-07 17:21:45.383000 UTC	Berlin, Germany	4392	1294	5	292		http://www.ciber.de/
5166	Neil Burroughs			2008-09-08 10:13:17.307000 UTC	2009-02-19 17:29:30.437000 UTC		489	14	0	71		
5507	Pavel Feldman			2008-09-10 04:51:24.317000 UTC	2021-05-05 02:57:02.337000 UTC	Vancouver, Canada	4541	255	9	1142		
7381	Lanzelot	"<p>Studied Mathematics and started programming with FORTRAN. Now a professional programmer in Java, C and C++.</p>

<p>Interests: Civilization, Chess, Cycling</p>"		2008-09-15 13:38:45.850000 UTC	2022-05-27 09:24:53.263000 UTC		15262	73	6	360		http://Donthaveone
10105	ADEpt	Freelance telecom expert, functional programming geek, linux user		2008-09-15 21:13:16.130000 UTC	2022-09-04 15:14:35.623000 UTC	London, United Kingdom	5444	247	9	501		http://pro-gsm.info
11135	bovium	I'm primarily interested in good software design, patterns, TDD, DDD and Microsoft technologies C#, .net, MSSQL.		2008-09-16 05:26:36.680000 UTC	2012-09-21 11:25:39.803000 UTC	Denmark	2839	161	10	293		http://boviumthomsen.googlepages.com/
11974	masto			2008-09-16 12:41:30.987000 UTC	2012-03-28 21:50:49.853000 UTC	United States	1366	6	1	139		
13185	ben.prew			2008-09-16 17:33:17.227000 UTC	2016-08-03 00:53:20.197000 UTC	Portland, OR	56	6	0	122		
14572	terrace			2008-09-17 01:10:23.370000 UTC	2021-03-12 23:47:26.190000 UTC		734	148	6	97	https://www.gravatar.com/avatar/47aa4d3fa0196a42bfbfbc4bcc34b759?s=128&d=identicon&r=PG&f=1	
14659	Antonio	I point out the obvious so you don't have to.		2008-09-17 01:49:08.660000 UTC	2022-08-29 15:40:14.180000 UTC	Panama	313	80	0	24		http://tourino.org
17530	Chris Parkinson	"<p>BY DAY: Lead CMS Developer for Control F1 Ltd - A Huddersfield based software development company.</p>

<p>BY NIGHT: Passionate music fan / vinyl collector with eclectic taste and guitarist for a couple of local bands.</p>"		2008-09-18 10:54:06.203000 UTC	2016-05-16 09:58:44.287000 UTC	Huddersfield, United Kingdom	216	12	0	51	https://i.stack.imgur.com/j9HTI.jpg?s=128&g=1	http://www.controlf1.co.uk
18703	Hace	"<p>Developer in .NET and Go, Golang.
For more detailed information please see my webpage in the links section :)</p>"		2008-09-19 09:53:39.087000 UTC	2022-09-22 13:47:48.093000 UTC	Netherlands	1392	100	4	118		http://www.mellekoning.nl/
19511	user19511			2008-09-20 06:16:30.977000 UTC	2010-05-01 00:06:11.997000 UTC		236	2	0	13		
23202	Yuval			2008-09-28 15:30:44.593000 UTC	2011-05-09 12:24:21.320000 UTC		1382	15	3	92		
23355	Jiminy	At 15 years old I fell in to the bottle. At the bottom I found programming. I've never left.		2008-09-29 05:50:06.260000 UTC	2018-03-27 00:26:19.560000 UTC	Melbourne, Australia	605	159	0	235		
25312	SWB			2008-10-05 18:53:44.387000 UTC	2022-09-20 06:47:49.727000 UTC	New Albany, IN	1413	146	2	109		
25571	yoyoyoyosef			2008-10-06 17:34:26.590000 UTC	2022-09-23 18:21:56.767000 UTC		6780	548	3	331	https://www.gravatar.com/avatar/07efa901c09b88b0bd219b627240969c?s=128&d=identicon&r=PG&f=1	
27344	fred smith			2008-10-13 08:09:54.640000 UTC	2011-12-16 00:07:14.137000 UTC		349	0	0	23		
30039	Mike Dillamore	<p>Web Developer and Architect - .NET Python</p>		2008-10-21 17:36:25.117000 UTC	2022-07-27 15:44:53.500000 UTC	United Kingdom	198	9	0	64		http://a8n.com
30881	mhamrah	<p>Principal Engineer, Getty Images</p>		2008-10-23 16:55:15.387000 UTC	2022-04-20 13:47:50.647000 UTC	New York, NY	8538	68	0	230		http://www.michaelhamrah.com/
33161	Johan			2008-10-31 17:37:30.123000 UTC	2021-08-31 16:11:47.940000 UTC	Beccles, UK	405	65	4	69		
36223	DaveB			2008-11-10 16:05:15.827000 UTC	2022-09-23 09:12:57.240000 UTC	Canada	1678	29	9	159	https://i.stack.imgur.com/bh9Vd.png	
37269	Hans Løken			2008-11-13 08:15:05.277000 UTC	2022-09-21 09:13:21.967000 UTC	Oslo, Norway	406	273	8	125		
38787	djuth	<p>Web application developer, Microsoft Certified Professional Developer, database application development, javascript, front-end development.</p>		2008-11-19 01:52:31.717000 UTC	2022-09-21 23:36:03.303000 UTC	Boyce, Virginia, United States	985	455	3	141		http://www.davidjuth.com/
41939	davorp	"<p>Software engineer with interest in backend development, high-availability, distributed systems, disruptive business.</p>

<p>Currently working on real-time data analytics with Kafka, Redis and druid.io.</p>

<p>OBDII enthusiast. IoT enthusiast. Cinephile. Windsurfer.</p>

<ul>
<li><a href=""http://careers.stackoverflow.com/dpoldrugo"">Davor @ Careers</a></li>
<li><a href=""http://hr.linkedin.com/in/dpoldrugo"" rel=""nofollow"">Davor @ LinkedIn</a></li>
</ul>"		2008-11-30 14:28:59.380000 UTC	2022-09-23 14:25:32.150000 UTC		3996	223	3	225		https://about.me/davor.poldrugo
46054	finpingvin			2008-12-14 00:25:55.660000 UTC	2021-06-09 06:44:58.037000 UTC	Sweden	694	31	3	198		
46478	OJW	<p>merge delete</p>		2008-09-24 09:52:32.237000 UTC	2022-09-22 17:18:45.493000 UTC		4429	151	25	366	https://www.gravatar.com/avatar/e123863701ae101414e0c664fe9274ad?s=128&d=identicon&r=PG&f=1	
47145	user47145			2008-12-17 17:24:36.990000 UTC	2009-01-30 05:29:02.300000 UTC		1765	43	0	79		
47636	Sam			2008-12-19 03:30:20.540000 UTC	2020-08-13 07:21:51.990000 UTC	Perth, Australia	4684	134	2	370		http://samritchie.net
53484	Ryan M	<h1>SOreadytohelp</h1>		2009-01-09 19:40:26.930000 UTC	2022-03-25 19:42:19.150000 UTC	San Ramon, CA	1651	78	19	112		
55905	jpgoulet			2009-01-16 16:45:10.237000 UTC	2020-11-04 00:24:51.907000 UTC		169	22	2	39		http://www.cimetech.com
58348	Bob Smith			2009-01-23 16:45:12.600000 UTC	2009-02-05 20:40:41.467000 UTC		791	0	0	97		
66434	Dennis Kempin			2009-02-14 13:32:28.573000 UTC	2017-10-18 16:14:38.687000 UTC	Aachen, Germany	1138	43	1	114		
72607	Jason Glover	<p>Serial Internet start-up starter-upper, .Net developer, culinary artist, poet, lover, freedom fighter, lunatic, Buell owner ...</p>		2009-03-02 02:28:15.547000 UTC	2022-09-19 19:38:35.997000 UTC	Seattle, WA, USA	599	31	7	112		http://nz.linkedin.com/in/jasonglover
80075	Tony BenBrahim	"<p>Java, Oracle, C/C++, Go, TypeScript
AWS</p>"		2008-09-08 01:12:18.650000 UTC	2022-09-22 23:19:59.927000 UTC	Houston, TX	6837	550	17	953		http://tonybenbrahim.net
80652	CHarmon			2009-03-20 19:42:32.273000 UTC	2022-01-26 14:36:55.173000 UTC	Richmond, VA	53	4	0	12		http://ccjjharmon.wordpress.com
84565	Garethr	A web and software developer living in Cambridge, UK and working in London.		2009-03-30 10:53:18.267000 UTC	2013-01-15 14:00:41.973000 UTC	United Kingdom	1947	33	1	191		http://morethanseven.net
87471	Johannes			2009-04-06 04:28:49.420000 UTC	2010-04-04 21:22:15.960000 UTC		189	0	0	20		
92803	Stephen Petschulat			2009-04-19 17:13:40.210000 UTC	2020-03-06 18:14:17.230000 UTC		1159	89	7	199		
96885	Shing Yip			2009-04-28 03:45:37.193000 UTC	2022-04-04 01:04:46.227000 UTC	New York, NY	1586	25	2	222		
99455	Gabriel Magana	"<p>Long time programmer. Been there, done a ton of things.</p>

<p><a href=""https://www.linkedin.com/in/gabrielmagana"" rel=""nofollow noreferrer"">https://www.linkedin.com/in/gabrielmagana</a> and <a href=""https://gabrielmagana.com"" rel=""nofollow noreferrer"">https://gabrielmagana.com</a></p>"		2009-05-01 16:28:46.163000 UTC	2022-09-24 19:30:22.917000 UTC	Auckland, New Zealand	4249	603	81	535	https://i.stack.imgur.com/LVEu8.png?s=128&g=1	http://gabrielmagana.com
100754	Sinan Ünür	"<p>I picked up my first language, Z-80 assembly, more than three decades ago. Since then, I have worked with a variety of programming languages, among others, such as APL, C, Pascal, Fortran, C++, Java, Scala, Python, Ruby, and Perl.</p>
<p>All original source code I post on Stackoverflow and other Stackexchange sites is Copyright 2009–2021 © A. Sinan Unur, and dual-licensed under the <a href=""http://opensource.org/licenses/MIT"" rel=""nofollow noreferrer"">MIT License</a>.</p>"		2009-05-04 09:04:02.027000 UTC	2022-08-30 02:36:19.580000 UTC	USA / TR	115626	5279	3277	17944	https://i.stack.imgur.com/g9hlb.jpg?s=128&g=1	https://www.nu42.com/
101218	Craig L			2009-05-04 23:47:45.100000 UTC	2010-10-26 10:55:00.100000 UTC		117	3	0	49		
103630	Rebthor	SQL expert, programming dilettante.		2009-05-08 15:31:48.260000 UTC	2010-04-09 16:38:12.147000 UTC	New York, NY	68	11	0	15		
103965	LandedGently			2009-05-09 05:32:33.827000 UTC	2016-09-23 23:23:47.747000 UTC	California	673	37	2	79		
104008	Jon Hess			2009-05-09 09:21:52.543000 UTC	2022-09-04 01:29:44.637000 UTC	Sunnyvale, CA	14227	460	3	1010		
105634	Jasiu			2009-05-12 19:35:38.927000 UTC	2022-08-22 02:28:38.260000 UTC		2624	78	1	190		
109414	Edd Barrett	<p>Computer scientist, programmer.</p>		2009-05-19 14:40:50.343000 UTC	2022-09-22 11:23:37.640000 UTC	UK	3145	126	8	298		http://theunixzoo.co.uk
112607	Maleki			2009-05-26 14:43:36.553000 UTC	2022-09-22 18:44:29.747000 UTC	Lawrence, KS	1496	173	12	185		http://None
112679	ks.			2009-05-26 17:32:53.560000 UTC	2014-11-15 03:44:02.800000 UTC	California	537	0	0	40	https://www.gravatar.com/avatar/fcd0572318ef7fc07f2c5ac64c4467ad?s=128&d=identicon&r=PG&f=1	
114147	invert	"<p>bitwise operators flail
    while true loops recurse
    stack overflow, bits and bytes</p>"		2009-05-29 07:13:26.700000 UTC	2022-02-11 05:54:35.267000 UTC	South Africa	1986	218	6	469		
116708	tb.			2009-06-03 16:57:13.867000 UTC	2022-09-20 09:00:20.473000 UTC		117	366	0	38		
117282	Iris			2009-06-04 11:38:32.280000 UTC	2022-09-22 21:42:37.177000 UTC	London, United Kingdom	106	98	0	87		
119195	Alsciende	<p>Web developer in France.</p>		2009-06-08 12:29:36.553000 UTC	2018-10-14 14:53:00.183000 UTC	Lyon, France	25987	319	27	958		
121061	kadam	<h1>SOreadytohelp</h1>		2009-06-11 04:11:14.613000 UTC	2022-09-21 20:21:05.933000 UTC	United States	1209	220	3	127		
121335	Armageddon			2009-06-11 13:50:06.190000 UTC	2009-10-01 09:47:25.187000 UTC		163	0	0	34		
123702	ctb			2009-06-16 13:41:50.313000 UTC	2021-01-06 13:18:32.090000 UTC		131	27	0	61		
124178	carlpett	<p>#SOreadytohelp</p>		2009-06-17 08:35:37.180000 UTC	2020-07-06 18:50:25.330000 UTC	Sweden	11657	334	32	504		http://-
126507	Adam Lewis			2009-06-21 16:04:38.817000 UTC	2016-09-21 14:34:57.280000 UTC		923	7	0	85		
127209	Marcos Oliveira	<p>I am a software engineer that likes to find the right tool to the task at hand.</p>		2009-06-22 21:43:52.050000 UTC	2021-11-05 06:17:55.657000 UTC	Dublin, CA, United States	1697	19	1	3567	https://i.stack.imgur.com/bXSDM.jpg	
134548	user134548			2009-07-07 21:13:14.163000 UTC	2010-06-08 18:12:47.090000 UTC		74	2	0	19		
135706	thodinc			2009-07-09 14:34:08.243000 UTC	2010-01-17 23:09:17.583000 UTC		205	0	0	25		
136861	gkrdvl	Human Mission is Learning How To Learn		2009-07-11 21:36:11.507000 UTC	2018-10-29 01:24:57.267000 UTC	Medan, Indonesia	972	20	0	113		http://blindoptimists.com
141826	SimonSalman			2009-07-21 07:26:55.103000 UTC	2010-01-19 15:11:48.880000 UTC		331	13	0	41		
144807	jamiew	"<p>I'm a computer programmer, co-founder of <a href=""http://vhx.tv"" rel=""nofollow noreferrer"">VHX</a> and a member of the <a href=""http://fffff.at"" rel=""nofollow noreferrer"">FAT Lab</a>.</p>
<p>Previously I created <a href=""http://knowyourmeme.com"" rel=""nofollow noreferrer"">Know Your Meme</a>, worked on <a href=""http://starwarsuncut.com"" rel=""nofollow noreferrer"">Star Wars Uncut</a>, and taught the <a href=""http://internetfamo.us"" rel=""nofollow noreferrer"">Internet Famous Class</a> among other projects.</p>
<p>For more info visit <a href=""http://jamiedubs.com"" rel=""nofollow noreferrer"">jamiedubs.com</a> or follow <a href=""http://twitter.com/jamiew"" rel=""nofollow noreferrer"">@jamiew</a> on Twitter.</p>"		2009-07-24 22:55:44.810000 UTC	2022-08-03 16:57:17.443000 UTC		806	102	10	63		http://jamiedubs.com
149497	Cahlroisse			2009-08-03 05:03:11.387000 UTC	2011-05-27 12:37:49.743000 UTC	Seattle, WA	536	25	1	139		
150620	David Chen			2009-08-04 20:44:11.943000 UTC	2009-10-14 00:02:43.427000 UTC		43	0	0	26		
154824	tbehunin	<p>Principal Consultant. My days usually revolve around javascript tools/frameworks (e.g. react, node, serverless, aws, graphql, react native, etc.) In a previous life, I worked on the .net stack as a full-stack dev.</p>		2009-08-12 05:22:44.023000 UTC	2022-08-15 23:37:54.950000 UTC	United States	1023	233	1	74		http://twitter.com/tbehunin
169760	Alex			2009-09-07 15:44:12.407000 UTC	2014-07-23 20:51:00.777000 UTC		375	4	1	22		
172365	JJ.			2009-09-12 02:37:06.440000 UTC	2016-02-27 07:21:01.730000 UTC		1089	4	0	25		
173251	Bryan Henry			2009-09-14 16:29:31.237000 UTC	2022-09-23 22:40:32.680000 UTC	Mountain View, CA, USA	8256	120	14	229		
180867	dfogge	"<p>""There are no stupid questions. There are only stupid people that don't ask questions.""</p>"		2009-09-29 03:53:42.593000 UTC	2018-03-03 18:56:28.507000 UTC	New York, United States	299	38	0	76		
182666	user182666			2009-10-01 18:00:53.923000 UTC	2010-01-31 20:26:40.690000 UTC		159	3	0	12		
189767	Andreas	"<p>Member of <a href=""http://heal.heuristiclab.com"" rel=""nofollow"">HEAL</a> Heuristics and Evolutionary Algorithm Laboratory in Hagenberg, Austria. We're doing research on metaheuristic algorithms (Genetic Algorithm, Evolution Strategy, Simulated Annealing, Tabu Search, Variable Neighborhood Search, Particle Swarm Optimization, etc.) and application to optimization problems (Facility Layout and Assignment, Storage Location Assignment, Vehicle Routing/Pickup&amp;Delivery, Job Shop Scheduling, Data Mining).</p>

<p>Co-Architect and Developer of <a href=""http://dev.heuristiclab.com"" rel=""nofollow"">HeuristicLab</a>.</p>"		2009-10-14 10:51:16.233000 UTC	2022-09-20 21:23:25.743000 UTC	Linz, Austria	6375	76	14	930		
190203	blakey87	Love my PHP MYSQL AJAX		2009-10-14 21:54:35.037000 UTC	2020-09-12 11:41:21.853000 UTC	United Kingdom	155	31	0	60		http://rbwebdevelopers.co.uk
192158	fjfjwo			2009-10-19 00:55:12.110000 UTC	2009-10-23 06:22:18.803000 UTC		323	0	0	25		
192548	Mikhail Nasyrov	<p>Software Coffeetrooper</p>		2009-10-19 16:33:18.380000 UTC	2022-02-21 06:21:31.350000 UTC	Russia	880	40	0	75		http://mnasyrov.com
194855	Tiago Deliberali Santos	.NET Developer... love new technologies and web related stuff		2009-10-22 19:28:38.340000 UTC	2022-09-14 17:52:07.367000 UTC	Sao Paulo, Brazil	504	897	0	129		
195904	Awi			2009-10-24 15:46:21.643000 UTC	2022-09-15 21:56:08.067000 UTC	Asuncion, Paraguay	275	238	7	62		
196104	Joemarie Aliling			2009-10-25 06:45:04.407000 UTC	2009-11-11 14:27:24.257000 UTC		29	0	0	41		http://www.joemarie-aliling.com
196870	Milo			2009-10-26 19:56:05.240000 UTC	2022-09-23 17:31:58.803000 UTC		305	117	0	32		
198386	Liran			2009-10-28 19:25:58.257000 UTC	2011-12-15 14:16:00.430000 UTC		800	22	2	79		
199475	carbocation			2009-10-30 07:14:25.180000 UTC	2022-09-23 00:06:03.000000 UTC		8251	2811	9	274		
201648	Aaron Newton			2009-11-03 12:25:41.347000 UTC	2022-09-18 23:41:16.250000 UTC	Sydney, Australia	2094	1509	1	367		http://aaronnewton.com.au/
203873	ihuk			2009-11-05 17:47:27.180000 UTC	2022-09-23 14:15:53.893000 UTC		1328	21	14	136	https://i.stack.imgur.com/ooswS.jpg	
205072	Rebecca			2009-11-06 17:18:00.403000 UTC	2009-11-06 17:18:00.403000 UTC		95	0	0	18		http://statnotes.net
206459	mayasky			2009-11-08 22:45:55.230000 UTC	2012-12-10 20:28:46.427000 UTC		1005	0	0	30		
206502	Jirka Kopřiva	<p>Code is poetry.</p>		2009-11-09 00:15:50.810000 UTC	2022-09-23 21:23:32.477000 UTC	Czech Republic	2779	329	4	361		http://jirka.edgering.org
210593	rupakg	<p>about.me/rupakg</p>		2009-11-13 16:38:26.063000 UTC	2021-04-15 15:29:08.130000 UTC	Atlanta, GA	480	10	0	44		http://rupakganguly.com
211050	PCManticore			2009-11-14 15:30:38.083000 UTC	2020-06-07 12:00:06.083000 UTC	Amsterdam, Netherlands	1014	31	2	46		
213136	Bob Jarvis - Слава Україні	"<p>#SOreadytohelp</p>
<p>Codidact account: <a href=""https://software.codidact.com/users/8124"" rel=""nofollow noreferrer"">https://software.codidact.com/users/8124</a>. I consent to having any content written by me on the Stack Exchange network migrated to Codidact, as long as proper attribution is given.</p>
<p>I'm wearing my hats upside down until Monica Cellio's moderator privileges are restored and SO apologizes - so, basically, forever.</p>
<p>I yearn to be Bugs.</p>
<p>I suspect I am Daffy.</p>
<p>I look like Elmer!</p>
<p>Favorite Latin quotations and phrases:</p>
<pre><code>Nullum magnum ingenium sine mixtura dementiae.
  - There is no great genius without a touch of madness.

Aliquando et insanire iucundum est.
  - It is pleasant at times to play the madman.

Ad astra per alas porci.
  - To the stars on the wings of a pig.

Non sum qualis eram.
  - I ain't as good as I once was. (Horace)
</code></pre>"		2009-11-17 18:16:19.693000 UTC	2022-09-25 02:44:55.543000 UTC	Akron, OH	47947	2855	171	5742		
213828	LucasCaixeta	<p>polyglot programmer :)</p>		2009-11-18 14:53:54.013000 UTC	2020-11-08 23:38:44.217000 UTC	Brazil	141	4	0	49		http://www.lucascaixeta.com
216873	Guillermo Guerini			2009-11-23 09:32:04.570000 UTC	2017-03-03 21:11:53.027000 UTC	San Francisco, CA	987	17	0	100		http://gguerini.com
223933	piyer	<p>Just a noob.</p>		2009-10-19 14:29:13.217000 UTC	2020-11-29 00:18:46.070000 UTC		746	12	5	152	https://www.gravatar.com/avatar/3ed6306823047c68bd22a2b9bd8cdeed?s=128&d=identicon&r=PG&f=1	
226740	anon			2009-12-07 22:47:26.153000 UTC	2009-12-07 22:47:26.153000 UTC		1227	0	0	12		
227187	danielreiser			2009-12-08 14:33:50.070000 UTC	2022-04-12 08:37:58.567000 UTC	Stuttgart, Germany	5212	35	1	243	https://i.stack.imgur.com/uK0oB.jpg	
